ticker,topic,topic_label,n,mean_sent,pos_ratio,top_words
두산밥캣,1,두산밥캣 | T1(밥캣코리아/신고),29,1.0,1.0,"밥캣코리아, 신고, 금감원, 두산밥캣코리아, 로보"
LG생활건강,0,LG생활건강 | T0(선주/매도),46,0.9565217391304348,0.9782608695652174,"선주, 매도, 이대출신, 요즘, 선주야"
두산밥캣,3,두산밥캣 | T3(관세/공매),16,0.875,0.9375,"관세, 공매, 맥쿼리, ls증권에서, 건설"
두산밥캣,0,두산밥캣 | T0(계속/오늘은),35,0.8285714285714286,0.9142857142857143,"계속, 오늘은, 외인창구, 많이, 지배주주"
삼성에스디에스,2,삼성에스디에스 | T2(ai데이터/주가가),11,0.8181818181818182,0.9090909090909091,"ai데이터, 주가가, 데이터센터, 모든, 센터"
SK텔레콤,2,SK텔레콤 | T2(sk텔레콤은/기업),11,0.8181818181818182,0.9090909090909091,"sk텔레콤은, 기업, 무시하는, 더이상, 돈이"
우리금융지주,0,우리금융지주 | T0(오늘/오늘도),50,0.8,0.9,"오늘, 오늘도, 우금지, isa, 겁주려면"
삼성에스디에스,1,삼성에스디에스 | T1(삼성에스디에스/삼성),20,0.8,0.9,"삼성에스디에스, 삼성, 삼성비서실, 삼성비서실의, 악질"
SK텔레콤,0,SK텔레콤 | T0(오늘도/오늘),91,0.7362637362637363,0.8681318681318682,"오늘도, 오늘, jp모건, 만주, skt"
엔씨소프트,2,엔씨소프트 | T2(morgan/공매),21,0.7142857142857143,0.8571428571428571,"morgan, 공매, 말햿습니다, 뉴뉴히, 프로에"
우리금융지주,2,우리금융지주 | T2(배당/배당금),36,0.6666666666666666,0.8333333333333334,"배당, 배당금, 관세협상, 은행주, 우리"
두산,0,두산 | T0(오늘/대한항공),170,0.6235294117647059,0.8117647058823529,"오늘, 대한항공, 매수, 한일령, 만원"
하나금융지주,1,하나금융지주 | T1(요약/배당),37,0.6216216216216216,0.8108108108108109,"요약, 배당, 세대는, 성공적, 분기"
엔씨소프트,0,엔씨소프트 | T0(아이온/결과),72,0.5555555555555556,0.7777777777777778,"아이온, 결과, 고객센터, 말고, 대박"
SK,1,SK | T1(sk/pbr),20,0.5,0.75,"sk, pbr, per, 수급, 전망"
